EMPLEADO,REPARTIDOR,TURNO
María Luisa Galdón Ter,Juan Pardo Rubio,noche
María Luisa Galdón Ter,Laura Jiménez Jiménez,noche
Úrsula Delta Camacho,Alejandro Pardo López,mañana
Úrsula Delta Camacho,Juan Sánchez López,mañana
Luis Ramírez Pardo,Alejandro Pardo López,mañana
Luis Ramírez Pardo,Juan Sánchez López,mañana
Sergio Lérida Campos,Carmen Capel Pío,tarde
Sergio Lérida Campos,Carlos Sánchez Ruíz,tarde
Piedad Colmenero Zapillo,Juan Pardo Rubio,noche
Piedad Colmenero Zapillo,Laura Jiménez Jiménez,noche
María Sánchez Cid,Carmen Capel Pío,tarde
María Sánchez Cid,Carlos Sánchez Ruíz,tarde
Martín Guerrero López,Carmen Capel Pío,tarde
Martín Guerrero López,Carlos Sánchez Ruíz,tarde
Carmen Hernández Pío,Alejandro Pardo López,mañana
Carmen Hernández Pío,Juan Sánchez López,mañana
Pedro Jiménez Ruiz,Carmen Capel Pío,tarde
Pedro Jiménez Ruiz,Carlos Sánchez Ruíz,tarde
Soledad Campillo Molina,Juan Pardo Rubio,noche
Soledad Campillo Molina,Laura Jiménez Jiménez,noche
Raúl Rodrigo Roca,Carmen Capel Pío,tarde
Raúl Rodrigo Roca,Carlos Sánchez Ruíz,tarde
